name,total,failed,success,failed_pct,success_pct,busy_time,captured_at
segotn13403-1.got.volvo.net-PROE:1,313,6,307,1.92%,,,
segotn13403-2.got.volvo.net-PROE:1,159,3,156,1.89%,,,
segotn13403-3.got.volvo.net-PROE:1,59,1,58,1.69%,,,
segotn13404-1.got.volvo.net-PROE:1,222,5,217,2.25%,,,
segotn13404-2.got.volvo.net-PROE:1,117,1,116,0.85%,,,
segotn13404-3.got.volvo.net-PROE:1,69,3,66,4.35%,,,
SEGOTN15670-1-THUMBNAIL:1,2,0,2,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,472,1,471,0.21%,,,
segotn18415-1-PROE:1,39,6,33,15.38%,,,
segotn18415-2-PROE:1,118,11,107,9.32%,,,
segotn18415-3-PROE:1,51,6,45,11.76%,,,
segotn19368-1-PROE:1,60,2,58,3.33%,,,
segotn19368-2-PROE:1,54,2,52,3.70%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,67,12,55,17.91%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,617,4,613,0.65%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,389,2,387,0.51%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,294,2,292,0.68%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,264,2,262,0.76%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,175,1,174,0.57%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,8,0,8,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,95,1,94,1.05%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,79,2,77,2.53%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,44,17,27,38.64%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,108,2,106,1.85%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,78,2,76,2.56%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,96,1,95,1.04%,,,
segotn13403-1.got.volvo.net-PROE:1,313,6,307,1.92%,,,
segotn13403-2.got.volvo.net-PROE:1,159,3,156,1.89%,,,
segotn13403-3.got.volvo.net-PROE:1,59,1,58,1.69%,,,
segotn13404-1.got.volvo.net-PROE:1,222,5,217,2.25%,,,
segotn13404-2.got.volvo.net-PROE:1,117,1,116,0.85%,,,
segotn13404-3.got.volvo.net-PROE:1,69,3,66,4.35%,,,
SEGOTN15670-1-THUMBNAIL:1,2,0,2,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,472,1,471,0.21%,,,
segotn18415-1-PROE:1,39,6,33,15.38%,,,
segotn18415-2-PROE:1,118,11,107,9.32%,,,
segotn18415-3-PROE:1,51,6,45,11.76%,,,
segotn19368-1-PROE:1,60,2,58,3.33%,,,
segotn19368-2-PROE:1,54,2,52,3.70%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,67,12,55,17.91%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,617,4,613,0.65%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,389,2,387,0.51%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,294,2,292,0.68%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,264,2,262,0.76%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,175,1,174,0.57%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,8,0,8,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,95,1,94,1.05%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,79,2,77,2.53%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,44,17,27,38.64%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,108,2,106,1.85%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,78,2,76,2.56%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,96,1,95,1.04%,,,
segotn13403-1.got.volvo.net-PROE:1,313,6,307,1.92%,,,
segotn13403-2.got.volvo.net-PROE:1,159,3,156,1.89%,,,
segotn13403-3.got.volvo.net-PROE:1,59,1,58,1.69%,,,
segotn13404-1.got.volvo.net-PROE:1,222,5,217,2.25%,,,
segotn13404-2.got.volvo.net-PROE:1,117,1,116,0.85%,,,
segotn13404-3.got.volvo.net-PROE:1,69,3,66,4.35%,,,
SEGOTN15670-1-THUMBNAIL:1,2,0,2,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,472,1,471,0.21%,,,
segotn18415-1-PROE:1,39,6,33,15.38%,,,
segotn18415-2-PROE:1,118,11,107,9.32%,,,
segotn18415-3-PROE:1,51,6,45,11.76%,,,
segotn19368-1-PROE:1,60,2,58,3.33%,,,
segotn19368-2-PROE:1,54,2,52,3.70%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,67,12,55,17.91%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,617,4,613,0.65%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,389,2,387,0.51%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,294,2,292,0.68%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,264,2,262,0.76%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,175,1,174,0.57%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,8,0,8,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,95,1,94,1.05%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,79,2,77,2.53%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,44,17,27,38.64%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,108,2,106,1.85%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,78,2,76,2.56%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,96,1,95,1.04%,,,
segotn13403-1.got.volvo.net-PROE:1,313,6,307,1.92%,,,
segotn13403-2.got.volvo.net-PROE:1,159,3,156,1.89%,,,
segotn13403-3.got.volvo.net-PROE:1,59,1,58,1.69%,,,
segotn13404-1.got.volvo.net-PROE:1,222,5,217,2.25%,,,
segotn13404-2.got.volvo.net-PROE:1,117,1,116,0.85%,,,
segotn13404-3.got.volvo.net-PROE:1,69,3,66,4.35%,,,
SEGOTN15670-1-THUMBNAIL:1,2,0,2,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,472,1,471,0.21%,,,
segotn18415-1-PROE:1,39,6,33,15.38%,,,
segotn18415-2-PROE:1,118,11,107,9.32%,,,
segotn18415-3-PROE:1,51,6,45,11.76%,,,
segotn19368-1-PROE:1,60,2,58,3.33%,,,
segotn19368-2-PROE:1,54,2,52,3.70%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,67,12,55,17.91%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,617,4,613,0.65%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,389,2,387,0.51%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,294,2,292,0.68%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,264,2,262,0.76%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,175,1,174,0.57%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,8,0,8,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,95,1,94,1.05%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,79,2,77,2.53%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,44,17,27,38.64%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,108,2,106,1.85%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,78,2,76,2.56%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,96,1,95,1.04%,,,
segotn13403-1.got.volvo.net-PROE:1,313,6,307,1.92%,,,
segotn13403-2.got.volvo.net-PROE:1,159,3,156,1.89%,,,
segotn13403-3.got.volvo.net-PROE:1,59,1,58,1.69%,,,
segotn13404-1.got.volvo.net-PROE:1,222,5,217,2.25%,,,
segotn13404-2.got.volvo.net-PROE:1,117,1,116,0.85%,,,
segotn13404-3.got.volvo.net-PROE:1,69,3,66,4.35%,,,
SEGOTN15670-1-THUMBNAIL:1,2,0,2,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,472,1,471,0.21%,,,
segotn18415-1-PROE:1,39,6,33,15.38%,,,
segotn18415-2-PROE:1,118,11,107,9.32%,,,
segotn18415-3-PROE:1,51,6,45,11.76%,,,
segotn19368-1-PROE:1,60,2,58,3.33%,,,
segotn19368-2-PROE:1,54,2,52,3.70%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,67,12,55,17.91%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,617,4,613,0.65%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,389,2,387,0.51%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,294,2,292,0.68%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,264,2,262,0.76%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,175,1,174,0.57%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,8,0,8,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,95,1,94,1.05%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,79,2,77,2.53%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,44,17,27,38.64%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,108,2,106,1.85%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,78,2,76,2.56%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,96,1,95,1.04%,,,
segotn13403-1.got.volvo.net-PROE:1,313,6,307,1.92%,,,
segotn13403-2.got.volvo.net-PROE:1,159,3,156,1.89%,,,
segotn13403-3.got.volvo.net-PROE:1,59,1,58,1.69%,,,
segotn13404-1.got.volvo.net-PROE:1,222,5,217,2.25%,,,
segotn13404-2.got.volvo.net-PROE:1,117,1,116,0.85%,,,
segotn13404-3.got.volvo.net-PROE:1,69,3,66,4.35%,,,
SEGOTN15670-1-THUMBNAIL:1,2,0,2,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,472,1,471,0.21%,,,
segotn18415-1-PROE:1,39,6,33,15.38%,,,
segotn18415-2-PROE:1,118,11,107,9.32%,,,
segotn18415-3-PROE:1,51,6,45,11.76%,,,
segotn19368-1-PROE:1,60,2,58,3.33%,,,
segotn19368-2-PROE:1,54,2,52,3.70%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,67,12,55,17.91%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,617,4,613,0.65%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,389,2,387,0.51%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,294,2,292,0.68%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,264,2,262,0.76%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,175,1,174,0.57%,,,
segotwvm1486.vcn.ds.volvo.net-CATIAV5:1,8,0,8,0.00%,,,
segotwvm1487.vcn.ds.volvo.net-CATIAV5:1,95,1,94,1.05%,,,
segotwvm1488.vcn.ds.volvo.net-CATIAV5:1,79,2,77,2.53%,,,
segotwvm1602.vcn.ds.volvo.net-CATIAV5:1,44,17,27,38.64%,,,
segotwvm1603.vcn.ds.volvo.net-CATIAV5:1,108,2,106,1.85%,,,
segotwvm1604.vcn.ds.volvo.net-CATIAV5:1,78,2,76,2.56%,,,
segotwvm1605.vcn.ds.volvo.net-CATIAV5:1,96,1,95,1.04%,,,
segotn13403-1.got.volvo.net-PROE:1,313,6,307,1.92%,,,
segotn13403-2.got.volvo.net-PROE:1,159,3,156,1.89%,,,
segotn13403-3.got.volvo.net-PROE:1,59,1,58,1.69%,,,
segotn13404-1.got.volvo.net-PROE:1,222,5,217,2.25%,,,
segotn13404-2.got.volvo.net-PROE:1,117,1,116,0.85%,,,
segotn13404-3.got.volvo.net-PROE:1,69,3,66,4.35%,,,
SEGOTN15670-1-THUMBNAIL:1,2,0,2,0.00%,,,
SEGOTN15670.vcn.ds.volvo.net-OFFICE:1,472,1,471,0.21%,,,
segotn18415-1-PROE:1,39,6,33,15.38%,,,
segotn18415-2-PROE:1,118,11,107,9.32%,,,
segotn18415-3-PROE:1,51,6,45,11.76%,,,
segotn19368-1-PROE:1,60,2,58,3.33%,,,
segotn19368-2-PROE:1,54,2,52,3.70%,,,
segotn19368-3-PROE:1,8,0,8,0.00%,,,
segotwvm1480.vcn.ds.volvo.net-CATIAV5:1,67,12,55,17.91%,,,
segotwvm1481.vcn.ds.volvo.net-CATIAV5:1,617,4,613,0.65%,,,
segotwvm1482.vcn.ds.volvo.net-CATIAV5:1,389,2,387,0.51%,,,
segotwvm1483.vcn.ds.volvo.net-CATIAV5:1,294,2,292,0.68%,,,
segotwvm1484.vcn.ds.volvo.net-CATIAV5:1,264,2,262,0.76%,,,
segotwvm1485.vcn.ds.volvo.net-CATIAV5:1,175,1,174,0.57%,,,
